plotcode,composition,diversity level,func.group,numgrass,numsherb,numtherb,numleg
1A01,Ant.odo|Ave.pub|Bro.hor|Poa.pra|Aju.rep|Pla.lan|Ran.rep|Tar.off|Ant.syl|Car.car|Ger.pra|Tra.pra|Lat.pra|Lot.cor|Tri.cam|Vic.cra,16,4,4,4,4,4
1A02,Alo.pra|Bro.ere|Fes.rub|Phl.pra|Car.pra|Her.sph|Ran.acr|San.off,8,2,4,0,4,0
1A03,Cyn.cri|Phl.pra|Tri.fla|Gle.hed|Pri.ver|Ver.cha|Lot.cor|Med.lup,8,3,3,3,0,2
1A04,Fes.pra|Pla.lan|Cam.pat|Ono.vic,4,4,1,1,1,1
1A05,Med.lup|Ono.vic,2,1,0,0,0,2
1A06,Alo.pra|Ant.odo|Ave.pub|Bro.hor|Hol.lan|Poa.pra|Poa.tri|Tri.fla|Ach.mil|Ant.syl|Cam.pat|Cen.jac|Ger.pra|Her.sph|Leu.vul|Pim.maj,16,2,8,0,8,0
1A07,Ran.acr|San.off,2,1,0,0,2,0
1A08,Med.var,1,1,0,0,0,1
1A09,Cyn.cri,1,1,1,0,0,0
1A10,,0,0,0,0,0,0
1A11,Ach.mil|Ant.syl|Cam.pat|Car.pra|Cir.ole|Cre.bie|Dau.car|Gal.mol|Ger.pra|Her.sph|Leu.vul|Pas.sat|Ran.acr|Rum.ace|San.off|Tra.pra,16,1,0,0,16,0
1A12,Lat.pra|Med.lup|Med.var|Ono.vic|Tri.cam|Tri.dub|Tri.hyb|Tri.pra,8,1,0,0,0,8
1A13,Lot.cor|Med.lup|Med.var|Ono.vic,4,1,0,0,0,4
1A14,Luz.cam|Tri.fla|Leo.his|Pla.lan|Ant.syl|Dau.car|Tri.cam|Tri.fra,8,4,2,2,2,2
1A15,Cre.bie,1,1,0,0,1,0
1A16,Poa.pra|Pla.lan,2,2,1,1,0,0
1A17,Alo.pra|Dau.car,2,2,1,0,1,0
1A18,Pru.vul,1,1,0,1,0,0
1A19,Arr.ela|Luz.cam|Pru.vul|Cam.pat,4,3,2,1,1,0
1A20,Aju.rep|Bel.per|Leo.aut|Leo.his|Pla.lan|Ver.cha|Ach.mil|Ger.pra|Kna.arv|Ran.acr|San.off|Lot.cor|Med.var|Ono.vic|Tri.hyb|Tri.rep,16,3,0,6,5,5
1A21,Fes.pra|Luz.cam|Ach.mil|Cre.bie,4,2,2,0,2,0
1A22,Alo.pra|Ant.odo|Arr.ela|Ave.pub|Bro.ere|Bro.hor|Cyn.cri|Dac.glo|Fes.pra|Fes.rub|Hol.lan|Luz.cam|Phl.pra|Poa.pra|Poa.tri|Tri.fla|Aju.rep|Bel.per|Gle.hed|Leo.aut|Leo.his|Pla.lan|Pla.med|Pri.ver|Pru.vul|Ran.rep|Tar.off|Ver.cha|Ach.mil|Ant.syl|Cam.pat|Car.pra|Car.car|Cen.jac|Cir.ole|Cre.bie|Dau.car|Gal.mol|Ger.pra|Her.sph|Kna.arv|Leu.vul|Pas.sat|Pim.maj|Ran.acr|Rum.ace|San.off|Tra.pra|Lat.pra|Lot.cor|Med.lup|Med.var|Ono.vic|Tri.cam|Tri.dub|Tri.fra|Tri.hyb|Tri.pra|Tri.rep|Vic.cra,60,4,16,12,20,12
2A01,Ant.odo|Pru.vul|Kna.arv|Tri.pra,4,4,1,1,1,1
2A02,Fes.rub|Tri.fla,2,1,2,0,0,0
2A03,Alo.pra|Ant.odo|Arr.ela|Ave.pub|Bro.ere|Bro.hor|Cyn.cri|Dac.glo|Fes.pra|Fes.rub|Hol.lan|Luz.cam|Phl.pra|Poa.pra|Poa.tri|Tri.fla|Aju.rep|Bel.per|Gle.hed|Leo.aut|Leo.his|Pla.lan|Pla.med|Pri.ver|Pru.vul|Ran.rep|Tar.off|Ver.cha|Ach.mil|Ant.syl|Cam.pat|Car.pra|Car.car|Cen.jac|Cir.ole|Cre.bie|Dau.car|Gal.mol|Ger.pra|Her.sph|Kna.arv|Leu.vul|Pas.sat|Pim.maj|Ran.acr|Rum.ace|San.off|Tra.pra|Lat.pra|Lot.cor|Med.lup|Med.var|Ono.vic|Tri.cam|Tri.dub|Tri.fra|Tri.hyb|Tri.pra|Tri.rep|Vic.cra,60,4,16,12,20,12
2A04,Ger.pra,1,1,0,0,1,0
2A05,Fes.pra,1,1,1,0,0,0
2A06,Pla.lan|Tar.off|Lat.pra|Med.lup,4,2,0,2,0,2
2A07,,0,0,0,0,0,0
2A08,Ran.acr|Tri.cam,2,2,0,0,1,1
2A09,Aju.rep|Pla.lan|Pri.ver|Pru.vul,4,1,0,4,0,0
2A10,Alo.pra|Ant.odo|Arr.ela|Bro.ere|Fes.pra|Hol.lan|Phl.pra|Poa.pra|Bel.per|Leo.aut|Leo.his|Pla.lan|Pri.ver|Pru.vul|Ran.rep|Ver.cha,16,2,8,8,0,0
2A11,,-1,0,0,0,0,0
2A12,Ant.syl|Gal.mol|Ger.pra|Her.sph|Kna.arv|Leu.vul|Ran.acr|San.off,8,1,0,0,8,0
2A13,Pla.lan,1,1,0,1,0,0
2A14,Luz.cam|Phl.pra|Leo.his|Ver.cha|Kna.arv|San.off|Tri.dub|Tri.hyb,8,4,2,2,2,2
2A15,Ono.vic,1,1,0,0,0,1
2A16,Leo.aut|Pla.med|Kna.arv|Vic.cra,4,3,0,2,1,1
2A17,Gle.hed|Leo.aut|Pla.med|Tar.off|Lat.pra|Tri.cam|Tri.fra|Vic.cra,8,2,0,4,0,4
2A18,Alo.pra|Bro.hor|Cyn.cri|Poa.pra|Aju.rep|Pla.med|Pri.ver|Ran.rep|Ant.syl|Cam.pat|Car.pra|Ger.pra|Med.lup|Tri.cam|Tri.dub|Tri.rep,16,4,4,4,4,4
2A19,Pla.med|Tar.off,2,1,0,2,0,0
2A20,Pla.lan|Tri.dub,2,2,0,1,0,1
2A21,Leo.his|Pla.med|Cre.bie|Gal.mol|San.off|Lot.cor|Med.lup|Ono.vic,8,3,0,2,3,3
2A22,Cyn.cri|Fes.pra|Phl.pra|Poa.tri|Tri.fla|Ach.mil|Cam.pat|Cen.jac|Rum.ace|San.off|Lat.pra|Lot.cor|Ono.vic|Tri.hyb|Tri.rep|Vic.cra,16,3,5,0,5,6
3A01,Gal.mol,1,1,0,0,1,0
3A02,Fes.pra|Car.car,2,2,1,0,1,0
3A03,Phl.pra|Pla.med|Tri.hyb|Vic.cra,4,3,1,1,0,2
3A04,Alo.pra|Arr.ela|Cyn.cri|Dac.glo|Fes.rub|Hol.lan|Poa.tri|Tri.fla,8,1,8,0,0,0
3A05,Ant.odo|Bro.ere|Poa.tri|Ant.syl|Leu.vul|Lot.cor|Ono.vic|Tri.hyb,8,3,3,0,2,3
3A06,Fes.rub,1,1,1,0,0,0
3A07,Bro.hor|Hol.lan|Pri.ver|Ran.rep|Her.sph|Leu.vul|Med.lup|Ono.vic,8,4,2,2,2,2
3A08,Dac.glo|Fes.pra,2,1,2,0,0,0
3A09,Alo.pra|Ant.odo|Arr.ela|Ave.pub|Bro.ere|Bro.hor|Cyn.cri|Dac.glo|Fes.pra|Fes.rub|Hol.lan|Luz.cam|Phl.pra|Poa.pra|Poa.tri|Tri.fla,16,1,16,0,0,0
3A10,,0,0,0,0,0,0
3A11,Bro.ere|Poa.tri|Pla.lan|Pru.vul,4,2,2,2,0,0
3A12,Lat.pra,1,1,0,0,0,1
3A13,Alo.pra|Ant.odo|Bro.ere|Poa.tri,4,1,4,0,0,0
3A14,Alo.pra|Ant.odo|Arr.ela|Ave.pub|Bro.ere|Bro.hor|Cyn.cri|Dac.glo|Fes.pra|Fes.rub|Hol.lan|Luz.cam|Phl.pra|Poa.pra|Poa.tri|Tri.fla|Aju.rep|Bel.per|Gle.hed|Leo.aut|Leo.his|Pla.lan|Pla.med|Pri.ver|Pru.vul|Ran.rep|Tar.off|Ver.cha|Ach.mil|Ant.syl|Cam.pat|Car.pra|Car.car|Cen.jac|Cir.ole|Cre.bie|Dau.car|Gal.mol|Ger.pra|Her.sph|Kna.arv|Leu.vul|Pas.sat|Pim.maj|Ran.acr|Rum.ace|San.off|Tra.pra|Lat.pra|Lot.cor|Med.lup|Med.var|Ono.vic|Tri.cam|Tri.dub|Tri.fra|Tri.hyb|Tri.pra|Tri.rep|Vic.cra,60,4,16,12,20,12
3A15,,-1,0,0,0,0,0
3A16,Aju.rep|Gle.hed|Leo.his|Pla.med|Pru.vul|Ran.rep|Tar.off|Ver.cha|Lat.pra|Med.lup|Ono.vic|Tri.cam|Tri.fra|Tri.hyb|Tri.rep|Vic.cra,16,2,0,8,0,8
3A17,Ver.cha,1,1,0,1,0,0
3A19,Tri.fla|Tar.off,2,2,1,1,0,0
3A20,Cam.pat|Car.pra|Her.sph|Kna.arv|Lot.cor|Tri.cam|Tri.fra|Tri.hyb,8,2,0,0,4,4
3A21,Lot.cor|Tri.pra,2,1,0,0,0,2
3A22,Ant.odo|Bro.ere|Fes.rub|Phl.pra|Aju.rep|Bel.per|Ran.rep|Ver.cha|Cre.bie|Gal.mol|Ger.pra|Rum.ace|Ono.vic|Tri.dub|Tri.fra|Vic.cra,16,4,4,4,4,4
3A23,Bro.hor|Ran.rep|Leu.vul|Tri.fra,4,4,1,1,1,1
3A24,Ant.odo|Arr.ela|Ave.pub|Bro.hor|Fes.pra|Poa.tri|Aju.rep|Gle.hed|Pru.vul|Ran.rep|Tar.off|Lot.cor|Med.var|Tri.pra|Tri.rep|Vic.cra,16,3,6,5,0,5
4A01,Alo.pra|Ant.odo|Arr.ela|Ave.pub|Bro.ere|Bro.hor|Cyn.cri|Dac.glo|Fes.pra|Fes.rub|Hol.lan|Luz.cam|Phl.pra|Poa.pra|Poa.tri|Tri.fla|Aju.rep|Bel.per|Gle.hed|Leo.aut|Leo.his|Pla.lan|Pla.med|Pri.ver|Pru.vul|Ran.rep|Tar.off|Ver.cha|Ach.mil|Ant.syl|Cam.pat|Car.pra|Car.car|Cen.jac|Cir.ole|Cre.bie|Dau.car|Gal.mol|Ger.pra|Her.sph|Kna.arv|Leu.vul|Pas.sat|Pim.maj|Ran.acr|Rum.ace|San.off|Tra.pra|Lat.pra|Lot.cor|Med.lup|Med.var|Ono.vic|Tri.cam|Tri.dub|Tri.fra|Tri.hyb|Tri.pra|Tri.rep|Vic.cra,60,4,16,12,20,12
4A02,Arr.ela|Cyn.cri|Luz.cam|Phl.pra|Poa.pra|Gle.hed|Leo.his|Pla.med|Ran.rep|Tar.off|Ant.syl|Gal.mol|Her.sph|Kna.arv|Pas.sat|Ran.acr,16,3,5,5,6,0
4A03,Bel.per,1,1,0,1,0,0
4A04,Arr.ela|Pla.lan|Ant.syl|Tri.cam,4,4,1,1,1,1
4A05,,0,0,0,0,0,0
4A06,Aju.rep|Bel.per|Gle.hed|Leo.aut|Pri.ver|Pru.vul|Tar.off|Ver.cha,8,1,0,8,0,0
4A07,Car.pra|Cre.bie|Med.lup|Tri.rep,4,2,0,0,2,2
4A08,Ant.odo|Ave.pub|Bro.hor|Fes.rub|Aju.rep|Pla.lan|Tar.off|Ver.cha,8,2,4,4,0,0
4A09,Tri.rep,1,1,0,0,0,1
4A10,Bro.ere|Fes.pra|Aju.rep|Pla.med|Pri.ver|Ach.mil|Car.car|Pim.maj,8,3,2,3,3,0
4A11,Tri.fla|Her.sph|Tra.pra|Med.var,4,3,1,0,2,1
4A12,Poa.pra,1,1,1,0,0,0
4A13,Cir.ole,1,1,0,0,1,0
4A14,Bel.per|Pla.lan,2,1,0,2,0,0
4A15,Ran.rep|Med.lup,2,2,0,1,0,1
4A16,Phl.pra|Poa.tri|Pri.ver|Tar.off|Ant.syl|San.off|Tri.dub|Tri.fra,8,4,2,2,2,2
4A17,Dau.car|Her.sph,2,1,0,0,2,0
4A18,Alo.pra|Bro.hor|Cyn.cri|Luz.cam|Leo.aut|Pla.med|Tar.off|Ver.cha|Car.car|Cre.bie|Her.sph|Pim.maj|Lat.pra|Ono.vic|Tri.cam|Tri.hyb,16,4,4,4,4,4
4A19,,-1,0,0,0,0,0
4A20,Ant.syl|Cam.pat|Car.pra|Cen.jac|Cir.ole|Ger.pra|Rum.ace|Tra.pra|Med.var|Tri.cam|Tri.dub|Tri.fra|Tri.hyb|Tri.pra|Tri.rep|Vic.cra,16,2,0,0,8,8
4A21,Dau.car|Med.var,2,2,0,0,1,1
4A22,Cam.pat|Car.pra|Ger.pra|Kna.arv,4,1,0,0,4,0
4A23,,-1,0,0,0,0,0
